row,nameInMMS,nameInBag
286,myd_mgzto781_v01f01_em,myd_mgzto781_v01f01_pm
287,myd_mgzto781_v01f01_em,myd_mgzto781_v01f01_sc
288,myd_mgzto781_v01f01_em,myd_mgzto781_v01f01_em
289,myd_mgzto780_v01f01_em,myd_mgzto780_v01f01_sc
290,myd_mgzto780_v01f01_em,myd_mgzto780_v01f01_pm
291,myd_mgzto780_v01f01_em,myd_mgzto780_v01f01_em
292,myd_mgzto7806_v01f02p02_em,myd_mgzto7806_v01f02p02_sc
293,myd_mgzto7806_v01f02p02_em,myd_mgzto7806_v01f02p02_pm
294,myd_mgzto7806_v01f02p02_em,myd_mgzto7806_v01f02p02_em
295,myd_mgzto7806_v01f02p01_em,myd_mgzto7806_v01f02p01_pm
296,myd_mgzto7806_v01f02p01_em,myd_mgzto7806_v01f02p01_sc
297,myd_mgzto7806_v01f02p01_em,myd_mgzto7806_v01f02p01_em
298,myd_mgzto7806_v01f01_em,myd_mgzto7806_v01f01_em
299,myd_mgzto7806_v01f01_em,myd_mgzto7806_v01f01_sc
300,myd_mgzto7806_v01f01_em,myd_mgzto7806_v01f01_pm
301,myd_mgzto7802_v01f02p02_em,myd_mgzto7802_v01f02p02_em
302,myd_mgzto7802_v01f02p02_em,myd_mgzto7802_v01f02p02_sc
303,myd_mgzto7802_v01f02p01_em,myd_mgzto7802_v01f02p01_sc
304,myd_mgzto7802_v01f02p01_em,myd_mgzto7802_v01f02p01_em
305,myd_mgzto7802_v01f01p02_em,myd_mgzto7802_v01f01p02_sc
306,myd_mgzto7802_v01f01p02_em,myd_mgzto7802_v01f01p02_em
307,myd_mgzto7802_v01f01p01_em,myd_mgzto7802_v01f01p01_sc
308,myd_mgzto7802_v01f01p01_em,myd_mgzto7802_v01f01p01_em
309,myd_mgzto7800_v01f02_em,myd_mgzto7800_v01f02_sc
310,myd_mgzto7800_v01f02_em,myd_mgzto7800_v01f02_pm
311,myd_mgzto7800_v01f02_em,myd_mgzto7800_v01f02_em
312,myd_mgzto7800_v01f01p02_em,myd_mgzto7800_v01f01p02_sc
313,myd_mgzto7800_v01f01p02_em,myd_mgzto7800_v01f01p02_em
314,myd_mgzto7800_v01f01p01_em,myd_mgzto7800_v01f01p01_em
315,myd_mgzto7800_v01f01p01_em,myd_mgzto7800_v01f01p01_sc
316,myd_mgzto7797_v01f01_em,myd_mgzto7797_v01f01_pm
317,myd_mgzto7797_v01f01_em,myd_mgzto7797_v01f01_sc
